2026-09-02T03:50:46.052539+00:00	gpt-4o	in=798	out=396	$0.0060
2026-09-02T03:50:51.129423+00:00	gpt-4o	in=972	out=427	$0.0067
2026-09-02T03:50:55.952221+00:00	gpt-4o	in=1067	out=468	$0.0073
2026-09-02T03:51:01.704165+00:00	gpt-4o	in=802	out=429	$0.0063
2026-09-02T03:51:06.636675+00:00	gpt-4o	in=816	out=438	$0.0064
2026-09-02T03:51:11.550798+00:00	gpt-4o	in=1664	out=449	$0.0086
2026-09-02T03:51:30.899221+00:00	gpt-4o	in=827	out=342	$0.0055
2026-09-02T03:51:33.700326+00:00	gpt-4o	in=858	out=363	$0.0058
2026-09-02T03:51:36.608564+00:00	gpt-4o	in=901	out=336	$0.0056
2026-09-02T03:51:40.927511+00:00	gpt-4o	in=852	out=396	$0.0061
2026-09-02T03:51:43.935069+00:00	gpt-4o	in=857	out=385	$0.0060
2026-09-02T03:51:47.103561+00:00	gpt-4o	in=873	out=430	$0.0065
2026-09-02T03:52:12.419331+00:00	gpt-4o	in=1248	out=459	$0.0077
2026-09-02T03:52:16.687808+00:00	gpt-4o	in=2063	out=435	$0.0095
2026-09-02T03:52:20.384342+00:00	gpt-4o	in=970	out=416	$0.0066
2026-09-02T03:52:24.603106+00:00	gpt-4o	in=1879	out=429	$0.0090
2026-09-02T03:52:29.975149+00:00	gpt-4o	in=1611	out=447	$0.0085
2026-09-02T03:52:33.708846+00:00	gpt-4o	in=881	out=346	$0.0057
2026-09-02T03:52:36.943526+00:00	gpt-4o	in=859	out=343	$0.0056
2026-09-02T03:52:40.780401+00:00	gpt-4o	in=840	out=359	$0.0057
2026-09-02T03:52:43.608403+00:00	gpt-4o	in=851	out=355	$0.0057
2026-09-02T03:52:47.292294+00:00	gpt-4o	in=870	out=340	$0.0056
2026-09-02T04:10:55.569303+00:00	gpt-4o	in=899	out=414	$0.0064
2026-09-02T04:11:02.102726+00:00	gpt-4o	in=1073	out=433	$0.0070
2026-09-02T04:11:06.544176+00:00	gpt-4o	in=1168	out=427	$0.0072
2026-09-02T04:11:11.237300+00:00	gpt-4o	in=903	out=463	$0.0069
2026-09-02T04:11:15.978892+00:00	gpt-4o	in=917	out=444	$0.0067
2026-09-02T04:11:22.930601+00:00	gpt-4o	in=1765	out=442	$0.0088
2026-09-02T04:11:27.379129+00:00	gpt-4o	in=1349	out=404	$0.0074
2026-09-02T04:11:32.664066+00:00	gpt-4o	in=2164	out=403	$0.0094
2026-09-02T04:11:37.995182+00:00	gpt-4o	in=1071	out=411	$0.0068
2026-09-02T04:11:43.909947+00:00	gpt-4o	in=1980	out=441	$0.0094
2026-09-02T04:11:48.285032+00:00	gpt-4o	in=1712	out=452	$0.0088
2026-09-02T04:11:53.154876+00:00	gpt-4o	in=845	out=295	$0.0051
2026-09-02T04:11:56.851773+00:00	gpt-4o	in=864	out=388	$0.0060
2026-09-02T04:12:00.880861+00:00	gpt-4o	in=856	out=335	$0.0055
2026-09-02T04:12:05.543173+00:00	gpt-4o	in=890	out=438	$0.0066
2026-09-02T04:12:09.635397+00:00	gpt-4o	in=867	out=400	$0.0062
2026-09-02T04:12:12.971599+00:00	gpt-4o	in=867	out=414	$0.0063
2026-09-02T04:12:16.055389+00:00	gpt-4o	in=827	out=352	$0.0056
2026-09-02T04:12:19.120511+00:00	gpt-4o	in=826	out=356	$0.0056
2026-09-02T04:12:23.410269+00:00	gpt-4o	in=837	out=389	$0.0060
2026-09-02T04:12:26.684449+00:00	gpt-4o	in=862	out=370	$0.0059
2026-09-02T04:12:31.973968+00:00	gpt-4o	in=875	out=348	$0.0057
2026-09-02T04:43:30.262239+00:00	gpt-4o	in=1008	out=429	$0.0068
2026-09-02T05:09:34.927650+00:00	gpt-4o	in=1008	out=425	$0.0068
2026-09-02T05:09:39.552548+00:00	gpt-4o	in=1235	out=468	$0.0078
2026-09-02T05:09:45.828074+00:00	gpt-4o	in=1467	out=489	$0.0086
2026-09-02T05:09:51.323766+00:00	gpt-4o	in=1101	out=459	$0.0073
2026-09-02T05:09:58.118389+00:00	gpt-4o	in=1216	out=476	$0.0078
2026-09-02T05:10:03.210529+00:00	gpt-4o	in=1959	out=411	$0.0090
